;Author;Date;Rating;Helpful count;Review
558;Robert Ma;25/02/20;4;0;I'm not sure if it's just me, but I feel like this branch is slightly worse than the downtown branch in terms of both food and service. Still good though.
562;Dennis Pham;02/03/20;5;0;I always get the tonkatsu black.
566;B B;05/03/20;2;0;A little overpriced for a ramen place, prob because of the Square one area.  The quality however is not good at all.  Size of the meal is small for what I was paying.  Seating is very tight also.
568;Fulbert Fu;06/03/20;2;0;Overpriced.
569;Donna Ribo;07/03/20;5;0;Went in with my co-workers and it was wonderful! :)
573;Shaun;09/03/20;1;1;Awful. The Ottawa location is a million times better
576;Shell Liza;09/03/20;3;2;I had Sansotei once before downtown and did not care for it too much, and have other preferred places for ramen. I wanted to try it again, and I got the spicy tan tan. The broth was overly salty, some of the ingredients like the bamboo shoot were cold, I assumed the soup would warm it. The pork was tender and the noodles were cooked right. For 13 dollars a bowl, I expected more toppings. I know more are available for an additional purchase. I also had the zangi (fried chicken), it was good but nothing special. I probably won't come again, as the value and quality isn't comparable to other great ramen places.
582;Harrison Chen;14/07/20;5;0;Yummy food, fast, fairly priced, great quality, friendly staff.
583;Kayla Luo;15/07/20;1;2;Star is for the food. I've been a frequent visitor of sansotei for years and their food is genuinely good. however their way of handling the pandemic failed miserably. Unless you have unlimited amount of time to wait, don't think about ordering from them directly for takeout as they don't take over-the-phone orders. meaning you have to go in person to order, unknowing how long the wait would be as no one can tell you how many ppl are already in line and how much stuff they ordered before you actually get there. they would drastically underestimate the wait time (by 50%-100%) to lure you in, but after that it's all luck. if they can survive thru the pandemic that's great, but how they achieve that with its current way of operations is beyond me.
584;Pennina-Lynn Cobb;16/07/20;5;0;My boyfriend and I ordered ramen and gyoza from here for the first time, and it was delicious! 10/10, would come here again!
585;Marieyo Ngume;17/07/20;5;0;The best mall ever!!!
586;Ger D C;04/08/20;1;1;Worst place to wait for your dinner! Do not go here!
589;Andrew Truong;18/08/20;1;1;First they suppress using a particular payment even though they take it and they then reduce the pork to 1 price just to spite me. Worst park is that it was takeout during covid and I didn't know till I got home. Snake move.. If I could give zero stars I would. Such shady business conduct
591;Matthew Kosichek;20/08/20;5;0;Best tonkotsu broth in town. The cha shu is so tender it falls apart when you try to pick it up (that's a good thing). Get the chicken zangi too, great flavour and fried to perfection
595;王simon;29/08/20;1;1;We came around 1:35pm, and there are several empty tables. The waitress told us tables are reserved, we need to wait for 15 mins for next table. We waited for 15 mins, and those reserved tables are still empty. We asked again, she told us we need to wait 2:15 pm to see if reserved people are not coming. There’s 40mins gap between we came and the reservation time, but waitress didn’t let us sat and eat. I feel like this restaurant doesn’t want to do business at all.
597;John Doe;01/09/20;4;0;It's a little expensive but it's good
598;Melissa Wheeler;01/09/20;5;0;Great take out service. Fast and fresh. Can't go wrong here.
600;Anastasia Beaverheusen;04/09/20;1;1;I ordered on Skip, after realizing it was in a mall I had instant regret. The food arrived cold and tasted salty af like an ex-wife at your wedding! They packed the ramen noodles with the soup so it was a giant blob when it arrived. Never eat ramen from a mall food court.
602;Justin Cook;08/09/20;5;0;I've eaten at a lot of ramen shops in the city, and I'm pretty sure this is the best broth of the mall. Go with Tonkotsu black and you won't regret it.
604;Rebecca Hancock;20/09/20;5;0;I didnt really think this place would be that great but holy was I wrong, the food is amazing the price is amazing the staff was amazing. Very impressed!
610;Ann Toronto;31/10/20;5;0;Great take out. Nicely packaged. Felt clean and safe. Tasty broth. Highly recommend for take out Ramen. Bit pricey but worth it.
611;Mandy;15/11/20;4;0;On a cold, rainy day like today I love a nice hot bowl of ramen. My go to favourite has to be the Black Tonkotsu made with garlic oil. For more food pictures and restaurant reviews in the GTA, check out @CityGirl.Eats on Instagram! 📸 Black Tonkotsu 💰$$
612;严嫣;17/11/20;3;0;(Translated by Google) Okay, but the price is a little expensive and the waiting time is long
615;Chuck P;18/12/20;1;1;cancelled my order from ubereats... no notification...i even preordered a day in advance. . that's terrible service
616;Glen Watson;19/12/20;4;0;Nice and quick
617;Jaskaran Singh;29/12/20;5;0;Good place
619;What's That;14/02/21;3;1;This place is average when compared to other options in Toronto. It is below average when it comes to ramen from Japan. We got the tonkotsu ramen and the broth was thin and salty. It was missing the rich broth that makes it so delicious.
620;Johnathan Chau;20/03/21;4;0;Their miso black and spicy tantan ramen are great, the zangi was okay. it takes a while for the ramen to come out but the service is great
621;Anthony Xavier;28/07/21;5;4;Service is great with ACTUAL Japanese speaking waiters, and the whole process is quick. Washroom is pretty nice with cool AC and nice atmosphere. The menu is small though. The price is okay and as someone who rarely eats pork, it was very tasty. Would recommend. I got an extra refill of the noodle (kaedama) which isn’t necessary but if you want a lot of noodles for sure get it. The service is VERY quick which is always a good thing!
622;Khem Mangal;20/08/21;4;0;Although small, this place packs a punch if you love good ramen, and good polite service. I had the Gyoza, and the Miso Black, and didn't regret it.....love the atmosphere, again small but packs a punch with flavor
623;Joshua Pineda;21/08/21;5;0;Amazing Food with quality service from our server Peter! He was very attentive and helpful to any questions or needs of my partner and I. I would definitely come back for the service alone!
624;Doan Le;25/08/21;5;0;There’s never any wait time when it comes to getting seated. The ramen is so flavourful and the presentation is great. The food always comes out quick too. Peter is a great server and is quick to help us out when needed.
626;Jarod Tracey;05/09/21;5;0;Delicious ramen at a reasonable price, I will certainly be returning. I had the tonkatsu+ and I would recommend adding corn and black garlic oil.
627;Tre Cabanit;05/09/21;5;0;The Ramen with egg and pork is flavorful.. it's the soup of Miso Black that makes it phenomenal .. and to add up with Gioza is a great combination.. mouthwatering food in topnotch quality, fast service with politeness from the crews is something that I can recommend from friends and family who's into Japanese dish! 5 star for all of you guys!
629;Anne T;10/09/21;5;2;One of the best ramen I’ve ever had and I’ve had a lot even in Japan. I ordered the Tonkotsu Black and it did not disappoint at all! Very flavourful and rich. Good portion size and not too pricey. I’ll be back to try more menu items soon! Nice atmosphere and friendly staff.
630;Marsie P;11/09/21;1;6;Absolutely awful service. They give you 5 minutes to get to your table. We had our 90 year old grandma with us and even with seeing her gave our table away. Saying nothing they can do it was the app they use. Good way of shrugging it off like it isn't your fault. We had come back previously to see if the table was ready and the girl who clearly didn't care told us to come back after we got the text. My grandma can't move fast enough she has a cane for godsake. Their staff didn't care. Doesn't matter I would suggest going to any other place anyway. Their ramen is subpar anyway. Never coming back. If I could give you 0 stars I would.
631;Mae Andrea;17/09/21;5;2;I highly recommend this ramen place! Me and my boyfriend came here few days ago. It was a good timing we came because we were at the mall and we were hungry. This is also my first time trying this place and food out! We ordered miso black ramen with extra corn, including extra noodles on the side + deep fries chicken. It was so fresh and well cooked. We indulged everything with a happy tummy haha. There was not alot of people dining either which was great. The server we had is so accomodating as well as all the employees. We absolutely love our experience, can't wait to come back again!
633;J.T. B;20/09/21;1;3;Food is great but the workers at the front desk that deals with reservations are rude, obnoxious and doesn't know how to be polite.  Been to many other locations from this chain and this is the rudest location I've ever been to.  They should take some customer service  training or learn from the other locations.  Go to the North York or downtown location, at least they have way better service.
634;Randy C;25/09/21;5;0;Really like this place. Super cozy and tasty ramen.
637;Albert Jayson Gabriel;03/10/21;1;1;TERRIBLE CUSTOMER SERVICE!
639;Jas;03/10/21;1;3;Poor customer service and all staff are rude. They’ll make you wait longer though the seat is ready and they’ll make so much excuses. Try to go somewhere else instead. Would definitely not come back here!
643;Flint Zeegers;24/10/21;5;0;I recently moved here and one of the few things I missed from my hometown was the ramen shop. I never thought I'd find one that compared, but after eating a few times at the Sansotei Ramen in Square One? I think I've found something even better. The ramen here is absolutely delicious, I recommend the Shoyu, and a side of the Zangi (fried chicken). It's so good. The staff are always kind and attentive, and the music they play here is stellar. There's such a wonderful atmosphere about this place. I think I'll be coming here at least once a week until I die or the wonderful staff changes. If you're looking for a amazing ramen shop, stop. You've found it.
646;Wang Ashley;27/10/21;1;0;bad service
647;Kevin Rowley;31/10/21;1;0;Our party of two signed up to their electronic waitlist with two parties ahead of us (one party of 5 and one of 6). After waiting for 40 minutes outside the restaurant, a different party of two was seated ahead of us. They were not on the waitlist. Could not justify waiting any longer and we left.
649;Tony Mlakar;02/11/21;2;0;went yesterday and ordered an extra egg because that's my favorite part of ramen. Unfortunately this location isn't marinating their eggs so I just got plain soft boiled eggs. extremely disappointing. Will adjust review if they start marinating eggs again like they are supposed to.
650;jerico ray dizon;03/11/21;5;0;Best ramen in town
653;jenna Wong;09/11/21;4;0;Really enjoyed my meal here. friendly staffs, the food came out fast. fair price for the food.
655;J W;14/11/21;5;0;Three words: Black garlic tonkotsu. Everything here is good, but it’s worth going for that alone. The other meat and vegan options are tasty as well if pork isn’t your thing.
656;Amber Evans;18/11/21;5;0;I love this restaurant. I've had a few other ramen places in Toronto but I'll always choose this one first. The broth and noodles are far superior to any other places out there. I love them so much!
658;Braedon K;20/11/21;2;1;The ramen was okay. It was a tad expensive for what it was. I've had better but, it's not horrible
660;jugster;21/11/21;5;0;me and my family eat here often, if you like salty the miso black is the way
662;Christopher Huynh;25/11/21;5;0;Gooooodd food
663;Demi;27/11/21;4;0;The ramen was amazing! Just wish the space was bigger and less cramped
664;Diocon Pal;29/11/21;4;0;Noodle soup was good but a lot salty for me. Seemed like it is loaded with MSG (monosodium glutamate) food enhancer. I had to drink water everytime I eat coz of saltiness of the soup.
665;Tim Solomons;02/12/21;5;0;The Miso Black is AMAZING here
668;Nick Michon;05/12/21;1;0;"Ordered delivery on ubereats, after waiting an hour it was cancelled.  Called them and they said they never made the order, and ""don't know how it happened"" and ""it never happened before"".  Don't waste your time ordering online with these clowns."
669;Stanley C;14/12/21;5;2;This is one of my favorite ramen. I started enjoying Sansotei in the Toronto downtown location many years ago, so glad they have it in Mississauga at Square One. It has always been crowded and be expected long line up. Love the Tonkotsu, Spicy Tan Tan and Tomato ramens. Usually add extra noodles. Restaurant is nicely decorated and clean.  Washrooms are clean and well maintained. If you have kids/babies, they provide high chair and usually give you the tables closer to the entrance, which has more space for the strollers. They do check the vaccination certificates and ID carefully which is good.
670;Sonny N;15/12/21;4;0;Went to Sansotei at Sq 1. As with this chain, the ramen is always good no matter the location.  Had the tonkutsu.
673;Ariel Honigsman;20/12/21;1;0;Due to Covid Restrictions, they are trying to keep an empty table between occupied tables which is reasonable! I came in asking for a table of 4, they asked me to wait for my table as they couldn’t sit my party of 4, but kept allowing tables of 2 as they could be properly spaced out. The problem is that they allowed so many tables of 2 that my table of 4 couldn’t sit on the 15 minutes waiting time they had advised, (as they allowed tables of 2, my party could never fit. A waiting time that was supposed to be of 15 minutes according to the receptionist, took more than 30 at which point I came in and complained and still there was no table available for me! I gave up!
674;Alyssa;23/12/21;5;0;Great staff and hot fresh ramen! Slightly salty but still good!
679;Alyona Kalachova;01/01/22;5;0;The ramen was exactly the same like I had in Montreal. The place is smaller and not as fancy as other locations, but the food and service are still the same. We waited for our order for 10 mins max.
681;Sarah DC;12/01/22;5;0;So delicious!
686;Ashkan Y;11/02/22;1;4;Unbelievable! Charged me $17 and we got less than half the meat we get at two other ramen locations in the area. One small thin slice of pork.very little miso and just overall very unsatisfactory! We just thought we should give it a try. Should’ve read the reviews before stepping in this place! Also for take out they force you to stay outside the restaurant eventhough it’s was almost entirely empty! Pretty much kicked me out and said wait outside! This is NOT during lockdown
687;Brendan Linseman;20/02/22;1;0;Dish was missing ingredients. Both kitchen and waitress tried to pass it off like nothing was wrong. When called on it, admitted it was missing and  refused to do anything about it.  Been going here or other locations for 8 years, won't be wasting time or money here again. With how it was made I might as well have had instant ramen.
688;Litao Li;20/02/22;5;0;The best ramen in Mississauga
689;Abhinav Sharma;22/02/22;4;0;The staff is super friendly!
690;Berman G;22/02/22;4;1;A sleek Japanese restaurant at the City Centre of Mississauga. As usual, the staff are very polite.
691;Jayzel Jomy;24/02/22;5;0;Absolutely delicous every time!! Love the location 2 because its practically inside the square one, so its nice to go there whenever i end up needing to transfer from city center transit terminal. 10/10 would go again! (*꒦ິ꒳꒦ີ)
694;jazmine;13/03/22;3;1;I usually really like Sansotei. The location at Square One is a little bit small, but the food is really good. The portions are a little small for the price, but overall the ramen is good. I went to Sansotei the other day and they got my order wrong. It was no big deal, so I notified the server. I wasn't angry at all, and I didn't wanna seem picky, but I told her that they gave me the wrong noodles (I ordered thin, but got thick) The server said that the kitchen must have confused it, and said sorry, THEN WALKED AWAY. Like???? I'm sorry, are you not gonna fix my order? Regardless if thick vs. thin noodles aren't a big deal, I want what I ordered. While she was in the area of my table, I called her again and asked her to kindly fix my order. She asked me what I wanted them to do about it. She obviously didn't want to fix my order, and kept delaying on getting a new bowl for me. It was around 7:20, maybe close to closing? But I shouldn't have to eat what I didn't order, just because it would be inconvenient for them. I ended up getting a new bowl, but the whole incident was very irritating. If my order is wrong, you fix it. No question about it. I can't believe she didn't offer a replacement in the beginning. I had to ASK FOR A REPLACEMENT. At the end of it, I paid full price. At that point, I was over the whole ordeal, but compensation for their mistake would have been nice. Even a small discount, I would have appreciated. I definitely won't be back after this.
695;mike dowling;20/03/22;5;0;Best ramen experience ever, must try the black garlic oil
697;Mike LL;03/04/22;4;0;I will stick to my Spicy Tantan and Tonkutsu...
700;Carol F;13/04/22;5;1;Amazing service, staff and food! Simple menu and straight to the point, can't go wrong with ramen! This Sansotei Ramen location is a great addition to Square One. Located next to Exit 9 (near Dollarama), it has it's own separate location without needing to browse through the mall. Their ramen is inspired off of the Kyushu and Hokkaido regions of Japan so their broth may be different from other ramen places. (Different regions have a different broth thickness, density and style). With 6 different ramen choices and thick or thin noodles to choose from, there's a bit for everyone! I personally love the Tomato Ramen that comes with Chashu (Pork), Hokkaido Scallop, Egg, Tomato and Shiitake Mushrooms). I've been here several times and it's been consistent from day one the restaurant opened in 2018. Even during, pre- and post-pandemic, the food quality is still consistent! Staff is pretty responsive and they do a great job with cycling customers and cleaning tables immediately after! At one point, they even signed up for the Yelp Waitlist as well - but they also can put your name down on a waitlist. Either way, they're pretty good at turnaround and service. When waiting for take-out orders or waiting for a table, they have a big area (still within the mall) that you can wait outside. It's spaced out and roomy and doesn't block the main entrance or blocking service. They prefer customers to wait outside which is better than inside as they have limited space.
702;Rachel Tran;30/04/22;4;0;a very convenient location to get ramen while shopping around square one. the servers are very nice and treated my friend and i with great service.
703;Ara A;03/05/22;5;0;Favourite ramen place in the city
704;Alex L;07/05/22;5;0;Best ramen in the city! The tonkotsu ramen was amazing! Must try!
706;Zarwah;10/05/22;4;3;Ramen!! This is the spot for getting a delicious and heartwarming bowl of Ramen. My friend and I got the only vegetarian option on the menu as everything else is meat based (especially pork). It was delicious! Perfect level of seasoning and spice. The service was fast and really friendly. Highly recommend checking it out!
708;Lena Chen;13/05/22;5;1;The service was great and instant lol, our ramen was ready immediately after order, wow. The soup base was rich creamy and deep in flavour but somehow not heavy. The ramen was perfect and tasty, with a hint of roasted garlic? Yumm. Wonderful bowl of ramen.
710;Gus Kalbhenn;18/05/22;2;1;Not what I am used to in a ramen restaurant.  It was definitely a 2 star
712;Bharathi Rao;26/05/22;4;0;This place is located in Square One mall in Mississauga next to Dollarama. They have a variety of ramen soups that are all pork based. Many soups have eggs on the side. You can request them to change the vegetables.
713;Harry Zheng;30/05/22;4;3;I got the Tonkatsu Ramen for $16 and the broth is very light with flavourful ingredients in the bowl. I tried my friends' Tonkatsu Black and Tonkatsu+ and the flavours were stronger. However, the broth was a miss for me in both the + and the black bowl, but I can see others liking it. The service was reasonably fast and the servers checked up regularly to refill our waters, but there was only one out of four menus to begin with. Overall, the ambiance is very cozy and modern, but if you don't want any zany flavours, I'd recommend the regular Tonkatsu bowl.
714;Dakota Tram;04/06/22;3;1;On waiting list for around 10 minutes. Staff is friendly and nice. The ramen is too salty for me but the meat is well marinated.
715;Jamey R;05/06/22;5;0;(Translated by Google) Stopped by after a movie. The Shoyu Ramen was delicious props to the chefs and the amazing service by the waitresses who were all extremely friendly and affable. Would visit again!
716;Emmanuel Appiahkubi;08/06/22;5;0;Great staff. Very friendly
717;Andrew Schuch;12/06/22;4;0;Alright. Location is very small but service was good. Will have to try again. Poor customer service. They forgot to include an item which was paid for.
718;Melissa Lynch;27/06/22;5;0;This ramen was delicious! The first time I have ever seen tomato ramen offered and it was amazing. The service was fast and the food fantastic.
719;Sam H;10/07/22;3;2;Not friendly for people who don't eat pork since all their broth is pork based. They have only 1 vegetarian option and it's not ramen, It was okay, felt like I was just eating it since I spent money on it rather than enjoying the meal. Unfortunately due to my dietary restrictions I most likely won't be coming back, other than that the location is very aesthetic and I'm sure the if you can eat the ramen it is a better experience.
720;Felipe Urrea;12/07/22;5;0;Went there with girlfriend and while I was out she accidentally ordered ramen with pork broth, the waitress was extremely accommodating and kind to the issue at hand and made a dish just for her that didn’t include any pork. With the ramen also being really good I would recommend this place to anybody. Very cozy.
721;icetink;07/08/22;5;3;This place does not disappoint! Been going here since they opened and their broths have been outstanding. Good to see that they've maintained quality. Their thick noodles are far better than their thin noodles (texture and chew) but still not as good as some other ramen places. Pork is a little sweeter and egg not as flavourful, but the egg is cooked perfectly. Service is great, atmosphere is good (a little tight but still comfortable). Always a happy experience here.
722;Sally Yeung;07/08/22;2;0;Ordered TONKOTSU ramens + a few sides for dinner after a fun time at Rec Room.     Toppings were good but the soup broth was quite oily.  The gyoza is T&T frozen dumpling at best.    We also ordered fried chicken as a side but after waiting for 10 min or so, we saw that the table which came after us got the fried chicken.  After asking the server, they realized they made a mistake and gave our order to the table next to us.  There were only three tables eating at the time with 4-5 servers, so not sure how they could make a mistake that way.  Obviously the table beside us pretended not to know and started eating as soon as the chicken was placed on their table.  After we finished all the food, the chicken finally came but it was overdone and my kids don't want to eat anymore.  In the end, the table beside us got the chicken for free and we have to wait extra long for the food to come.  A disappointed experience overall.  Will not visit again.
723;Richard;09/08/22;1;0;Too salty of a broth
724;Araceli Ortiz;11/08/22;5;0;Absolutely delicious meal! And excellent service 😊 They gave us bowls to share with our kids, and even cut up the noodles for our youngest. Group of 6, all our food was hot and delicious. Two tonkostu ramen, shoyu ramen, tonkostu black ramen, gyoza, and zangi. Everything was sooooo good. My shoyu ramen was very hot, savory and the noodles were perfect! Thank you for the delicious meal!
726;Wilbert Lee;30/08/22;4;0;Edit: Manager has contacted me back and understand the situation and apologized for the issue. He will retrain his staff. I am glad the manager was willing to cooperate with me over the phone and looked up the accessibility in Ontario. The restaurant discriminated someone with a service dog with legal document. I will be filing another business complaint. They only allow those with disability in the restaurant. They also refuse to give the names of those refusing services, if you have a service dog you better be handicapped or they will discriminate against you.
728;Parman Gill;07/09/22;5;0;Great ramen, best broth.
729;Jay-R Ramos;10/09/22;5;1;Service was fast. Cozy place.
731;PEANUT;30/09/22;5;0;Good ramen, speedy service. Will visit again
732;Mae Mae;06/10/22;5;1;One of the best Ramen places in Mississauga and very considerate of guests’ allergies. They gave us the allergy sheet one time when my partner asked for it. I don’t think any other places we’ve been to has a well put together allergy sheet like that before. They’re tonkotsu ramen and zangi chicken are to die for.
734;Dahlia Hall;08/10/22;4;0;Love the menu, very nice broth flavors. There are no chicken options in the ramen most of it is chasu, but it tastes very good! We were unsure if the vegetarian option included soup or not, and the fried chicken was also very good but a bit underflavoured. We had a great experience with the staff they are amazing and very kind. The wait time was very short and the tables are kept very clean. Thank you for an amazing experience!
735;Gravity “Gravity”;08/10/22;4;0;This location is pretty small so if you can hit it when it's not busy, it's great. Ramen had a unique flavor I've never had prior, I'd go here again :)
736;TL G;15/10/22;1;0;Almost an hour now and we are still waiting here with lots of vacant table inside. Staff said we have to wait for the others even if they are not here for an hour already. This is the first time I experience this in a restaurant.
737;Graham-John Salvaterra;20/10/22;4;0;Excellent prices, rich meaty broth, excellent service, clean and tasteful ambiance, what more could one ask for (in a restaurant 😏)!
739;Joel Chan;30/10/22;5;0;We ordered the tan tan ramen, tonkotsu plus ramen, corn croquettes, and karaage. All were very good, one of the better ramen places in the area. Seating was relatively fast with 1 group in front of us around 1:30PM on a Sunday.
740;Nate;04/11/22;3;0;It's a chain so you can expect close to the same service and quality of food as other branches. 3/5 in total for the food and the service. The food is pretty good for the low price. 5/5 for the food. The staff that served my party at this location weren't very attentive and failed to provide us with eating utensils after serving us food until they were waved down. The staff also did not check up on us at all during our meal and we needed to wave them down again just to get the bill. 1/5 for the staff.
741;Clara Regina;06/11/22;1;4;The flavour and soup is really good, however this location deserves a 1 star due to the amount of soup I got. I came here for lunch today and ordered the black tonkotsu. When I started eating the amount of soup I got was very little compared to the amount I got last time. WHAT A JOKE. For $19, ENSURE quality control of your portions 😡😡. That’s how you loose customers.
743;Shayn Yoe;13/11/22;5;1;The broth and noodles were delicious!  I went with the classic tonkatsu and it didn't disappoint. Kadaema options are available. But the service was outstanding. As an example, when my opened beer wasn't cold enough, they didn't think twice to replace it with a new one. Its a small restaurant but I definitely recommend a visit.
745;CHAN CHAN;20/11/22;2;0;Had lunch there today 2-3pm and overall not a good dining experience: 1. There are a lot of waiters but most of them are roaming but not paying attention to clients need. 2. Waiters even play with each other while totally forgot to provide us utensils 3. They took orders without using a pen so totally forgot what we ordered.
746;Jonica Ilagan;22/11/22;5;1;Staff was super friendly and ramen was really good!
748;Zak;03/12/22;5;0;Didn't expect food to be that good at a mall
749;Nyan Pasu;10/12/22;1;2;(Translated by Google) Unpalatable and expensive, no service and tip. Ajisen kington and Kenzo farther away are both cheaper, run away friends. The service is also extremely poor. When the store is not busy, there are four idle waiters who never take the initiative to serve. They don't move at all unless the customers call. You come to work just to chat in a daze? Very speechless 😓
751;JJ L;13/12/22;4;0;Dined here once during opening and once years later. This review is based on recent/years later experience. I ordered a Tonkotsu Ramen, it was really good yet light which I am a fan of. The meat slices were not too thick but it was fatty and it melted in my mouth along with the broth. The soft boiled egg was just right and it was runny and delicious. I would recommend coming here either in pairs or solo as big groups might find themselves feeling a bit squished. I did take a star away from service as no one informed me the menu was all digital now but that seems the norm now in most dine-in locations. They also didn't have the corn croquettes available and there was no indication this was the case. The server was nonetheless helpful when I asked for recommendations. Would come back here again for lunch in the future.
753;Amy;20/12/22;5;0;Soo good! Black garlic tonkotsu ramen was so flavourful and filling. Been looking for good ramen spots in Mississauga, and didn’t even know this place existed tucked inside Square One but it’s definitely my new go-to ramen spot. A tad bit pricier than other places but still worth it. Server was super friendly.
755;Abhilasha Dewan;29/12/22;1;0;No vegetarian broth at all? Can’t even make one for someone requesting it as their broth is pre-made? Seriously never heard of a punishment where a vegetarian has to eat ramen without any broth as they don’t have the option of a vegetarian broth!
756;Jen;02/01/23;4;0;One of my fav ramen spots! I especially love the tonkotsu black which comes with the garlic oil and the thick noodles are cooked perfectly with a chewy texture. However, there could be a wait since this is a small spot and also the cleanliness of the tables could be improved.
758;Vi;06/01/23;1;1;I have dined at this restaurant multiple times but I am extremely disappointed in this locations' service and the takeout that I received. Spent around $20 for what resembled cup noodles with egg and meat. The portion size was not the same as dining in :(
759;Eddy Shamshuddin;06/01/23;4;0;Food is excellent, the space is too cramped and very uncomfortable, best to get the food to go
761;Q;13/01/23;5;1;Very delicious ramen, reminds me of Ichiran in Japan. Much better than the other competitors ramen chains around.
762;Adelin A;15/01/23;5;0;Real authentic feel, fast service. Great staff
763;Mai;15/01/23;5;0;Delicious ramen.
764;Ram N P;16/01/23;4;0;Tasty and delicious foods.
765;Chris D;24/01/23;1;1;This establishment needs to readjust their prices, Kinton Ramen and Kamen Ramen are 2-3 km's away and serve good ramen but $5 less and a bigger menu
767;writesh ghosh;26/01/23;5;0;Me and my wife went here for dinner one snowy blustery evening and ordered a bowl of the Tonkotsu black ramen and the Miso black ramen along with a bottle of the peach sake. Both bowls of ramen were super fresh and amazingly flavorful, really packed a punch. We loved them and honestly feel these folks make some of the best ramen in town. Prices similar to some of the other popular chains(maybe a couple of extra dollars per bowl) but quality freshness wise way better than others. Highly recommended! The peach sake can be missed tbh!
768;Denny Wijaya;27/01/23;5;0;So worth the price. We ordered simple set, which is shoyu ramen with bamboo shoot and chasiu don. We also had tonkotsu ramen, gyoza and zangi (deep fried chicken like karaage). The soup of the ramen was good, not that thick which we like and the noodle was tasty. The kids loved the zangi and the chasiu on top of the rice from the simple set. They are so tender and tasty. Overall, so worth the price and we would return here for sure. So, on the second trip, we had black ramen (regular tonkotsu ramen added with black garlic sauce) and tantan (spicy) ramen. I prefer the regular tonkotsu though even though the ones we ordered on the 2nd trip were also nice.
769;Manwai Yau;29/01/23;1;0;Very very bad experiences. The server at the reception listen to our phone number wrongly and ask us to resented the waitlist, which is very very unacceptable. It is totally the restaurant’s fault and we were very unhappy for the response at the front desk. Will never come ever again, very disappointing  very sad and very hungry.
772;Sonja Jones;10/02/23;4;0;All around good
773;Cait Boer;14/02/23;5;0;I went today for lunch it was my first time at this location. I've been to the one in Toronto a few times. They have the best ramen I've ever tasted. I usually get the miso black but today I had the tonkotsu. I am always in heaven when I taste the broth for the first time at this restaurant. I highly recommend.
775;Clarisse Aza;17/02/23;5;2;The ramen here is rich and flavourful. I highly recommend the miso black or the vegetarian mazemen
776;Rahul Shetty;17/02/23;5;0;My first Ramen experience in Toronto and they got a permanent customer in me. The spicy ones are top notch.
778;Eric Dirauso;18/02/23;5;0;Absolutely Stellar ramen and great service, A must eat at joint!
779;S L;19/02/23;1;0;Too salty, too small portions, poor service
780;Praneeth;19/02/23;4;0;I've tried the vegetarian ramen and it was pretty good. Although i felt the quantity was less for the price we pay.
781;Michael Liman;19/02/23;4;2;The ramen is good, and tasty.  We ordered spicy Tantan and black ramen, sangi, gyoza. I taste the ramen rather salty. I believe if the ramen can be made less salty, the taste will be superb. No line-up.
783;Lena He;22/02/23;1;0;This place has too much preservatives put in their soup or sauce base. After dinning in here I’ve got the stomach flu, something was definitely not clean from their food. Stay away from this ramen place if you want to stay healthy!
784;Kevin S;07/03/23;5;0;A phenomenal ramen place! The broth, noodles, and prok chashu are delicious  great quality, and decently priced. There's not a whole lot of seating though, but it wasn't too busy when we went. We walked in and really didn't have to wait long. Only giving 4 stars for foos because there are some incredible ramen places West coast. So whole the food was amazing, can't say it was the best Ramen I've had... bur certainly a local favourite of mine.
787;Brian Do;12/03/23;5;1;The server Khanh was so cute and handsome. She was keeping track of my table like an obsessed stalker. Definitely made my night. I felt taken care of like a mama to a new born baby. Best experience I’ve had in decades. I will be coming back. Sally was making me feel like royalty, she gassed me up so much I thought she had a crush on me. Jinny was a goddess, I felt like I was serving her not her serve me. I was blessed with her presence. Brian was spicy
788;William N;14/03/23;4;0;Got the miso black and gyoza. Was about a 20 minute wait for 1 person but very worth it!!
790;Claire Chen;18/03/23;4;0;Best ramen in the square one area.
791;Ajay K;18/03/23;3;0;Good food! Staff confusing about Amex
792;William Heayn;19/03/23;5;0;This was the best bowl of tonkotsu ramen I've ever had! And the price is excellent!
794;Albert Florentin;30/03/23;5;0;always a pleasure eating here! shoutout to all the beautiful people here! marvelous service! thats why i keep coming back!
796;S5 travellers;02/04/23;4;0;Delicious tonkotsu ramen. Missed its entrance as it was not seen from inside the mall and there was no sign, needed to go through the automatic door then saw the entrance. Staff was nice.
797;Joss C;04/04/23;2;0;This Ramen cannot compare to Ajisen Ramen, and is more expensive. I was disappointed in taste, left no umami, or cravings to return for. Still left with Kamen Ramen in Mississauga.
798;Vassili;07/04/23;2;0;Went to try this place because Kenzo is closed on Sundays (our go to). Not sure if this is more authentic and I am not used it but we did not enjoy it at all. Very salty, flavour is basically guided exclusively by sodium. We tried the Tonkotsu and Tonkotsu+ as well as the gyoza and fried chicken. We found tonkotsu very salty and lacking in flavor, only ate half. Gyoza was decent but ratio of filling to dough was poor. Fried chicken was decent, hard to get this wrong I guess. Ended up paying around $70 with tip, definitely not worth it in my opinion. Only reason I am giving 2 stars is because the service was great, very polite and quick.
799;Mark Wong;09/04/23;3;0;Its quite salty today. Was not like that before :(
801;An 000;12/04/23;1;1;Was eating and the waitress cleaning the table beside me sprayed the disinfectant towards me and onto my food? Could’ve sprayed the other way no?
